id,название,широта_центра,долгота_центра,все_точки_границ,количество_точек,северная_граница,южная_граница,западная_граница,восточная_граница,сервер
859735770,Квартал,56.831371,60.627321,"60.628860,56.832158; 60.629073,56.831097; 60.629554,56.830726; 60.629682,56.830308; 60.624796,56.829839; 60.624294,56.830739; 60.623931,56.831692; 60.626249,56.831914; 60.626467,56.831804; 60.628062,56.831935; 60.628024,56.832076; 60.628860,56.832158",12,56.832158,56.829839,60.623931,60.629682,https://overpass.kumi.systems/api/interpreter
859735771,Квартал,56.833087,60.632805,"60.635015,56.830834; 60.634830,56.831282; 60.635219,56.831329; 60.632829,56.837413; 60.631669,56.837266; 60.630864,56.837161; 60.632667,56.832728; 60.632631,56.832537; 60.629730,56.832177; 60.630389,56.830397; 60.635015,56.830834",11,56.837413,56.830397,60.62973,60.635219,https://overpass.kumi.systems/api/interpreter
859735772,Квартал,56.831623,60.638477,"60.636387,56.831038; 60.638135,56.831220; 60.639314,56.831333; 60.640062,56.831134; 60.643212,56.830104; 60.643662,56.830539; 60.639274,56.831649; 60.638244,56.831537; 60.637622,56.832558; 60.636388,56.833098; 60.635802,56.833021; 60.635707,56.832827; 60.636387,56.831038",13,56.833098,56.830104,60.635707,60.643662,https://overpass.kumi.systems/api/interpreter
859735773,Квартал,56.828535,60.622103,"60.624350,56.829283; 60.624672,56.828021; 60.620220,56.827498; 60.620016,56.828050; 60.619715,56.828027; 60.619426,56.828790; 60.624071,56.829330; 60.624350,56.829283",8,56.82933,56.827498,60.619426,60.624672,https://overpass.kumi.systems/api/interpreter
859735775,Квартал,56.827902,60.63481,"60.635409,56.830458; 60.637215,56.826196; 60.635028,56.825945; 60.634963,56.826116; 60.636798,56.826336; 60.636233,56.827668; 60.636218,56.827703; 60.634536,56.827551; 60.634172,56.828416; 60.631185,56.828021; 60.630555,56.829958; 60.635409,56.830458",12,56.830458,56.825945,60.630555,60.637215,https://overpass.kumi.systems/api/interpreter
859735777,Квартал,56.824973,60.616341,"60.617867,56.824132; 60.617065,56.826338; 60.616355,56.826278; 60.616522,56.825678; 60.615022,56.825508; 60.615241,56.824848; 60.615445,56.824685; 60.615557,56.824538; 60.616273,56.824586; 60.616537,56.823980; 60.617867,56.824132",11,56.826338,56.82398,60.615022,60.617867,https://overpass.kumi.systems/api/interpreter
859735778,Квартал,56.822712,60.61668,"60.617576,56.823762; 60.618406,56.821545; 60.616561,56.821340; 60.615177,56.822361; 60.614780,56.823500; 60.617576,56.823762",6,56.823762,56.82134,60.61478,60.618406,https://overpass.kumi.systems/api/interpreter
859735779,Квартал,56.823084,60.621518,"60.625917,56.824792; 60.626796,56.822520; 60.624420,56.822223; 60.619648,56.821730; 60.619513,56.822108; 60.619604,56.822384; 60.619191,56.822624; 60.619051,56.823197; 60.619493,56.823239; 60.619362,56.823548; 60.619309,56.823850; 60.625917,56.824792",12,56.824792,56.82173,60.619051,60.626796,https://overpass.kumi.systems/api/interpreter
859735781,Квартал,56.824584,60.633847,"60.634469,56.825420; 60.635134,56.823556; 60.632937,56.823323; 60.632228,56.825200; 60.634469,56.825420",5,56.82542,56.823323,60.632228,60.635134,https://overpass.kumi.systems/api/interpreter
859735782,Квартал,56.824495,60.636897,"60.637963,56.823696; 60.636087,56.823496; 60.635220,56.825687; 60.637254,56.825900; 60.637963,56.823696",5,56.8259,56.823496,60.63522,60.637963,https://overpass.kumi.systems/api/interpreter
859735783,Квартал,56.821641,60.630074,"60.630808,56.822416; 60.631066,56.820696; 60.628731,56.820473; 60.628958,56.822206; 60.630808,56.822416",5,56.822416,56.820473,60.628731,60.631066,https://overpass.kumi.systems/api/interpreter
859735784,Квартал,56.821985,60.637694,"60.636995,56.821390; 60.637444,56.821424; 60.637606,56.821501; 60.637784,56.821553; 60.637795,56.821702; 60.637858,56.821767; 60.637940,56.821825; 60.637978,56.821912; 60.638229,56.822075; 60.638138,56.822298; 60.638445,56.822441; 60.638354,56.823352; 60.636163,56.823160; 60.636995,56.821390",14,56.823352,56.82139,60.636163,60.638445,https://overpass.kumi.systems/api/interpreter
859735785,Квартал,56.819978,60.638437,"60.637053,56.820794; 60.639263,56.821052; 60.639972,56.819531; 60.639414,56.818909; 60.637869,56.818786; 60.637053,56.820794",6,56.821052,56.818786,60.637053,60.639972,https://overpass.kumi.systems/api/interpreter
859735786,Квартал,56.819543,60.632831,"60.628669,56.819690; 60.628815,56.819907; 60.631533,56.820166; 60.631933,56.820209; 60.632249,56.819359; 60.632596,56.819391; 60.632872,56.819662; 60.633353,56.819713; 60.633189,56.820345; 60.633902,56.820423; 60.634445,56.820477; 60.634845,56.819389; 60.636165,56.819526; 60.635905,56.820190; 60.635760,56.820165; 60.635638,56.820614; 60.636115,56.820645; 60.636828,56.819191; 60.636234,56.818928; 60.634060,56.818690; 60.632851,56.818613; 60.632062,56.818548; 60.631587,56.818445; 60.631058,56.818386; 60.630379,56.818837; 60.628883,56.818692; 60.628674,56.819317; 60.628669,56.819690",28,56.820645,56.818386,60.628669,60.636828,https://overpass.kumi.systems/api/interpreter
859735787,Квартал,56.821284,60.606963,"60.608619,56.820383; 60.608287,56.821227; 60.606973,56.821072; 60.606687,56.821797; 60.607897,56.821922; 60.607796,56.822240; 60.607563,56.822799; 60.606864,56.822672; 60.605330,56.822514; 60.605607,56.821748; 60.605940,56.821634; 60.606241,56.820730; 60.606088,56.820663; 60.606237,56.819903; 60.606855,56.819966; 60.606770,56.820165; 60.608619,56.820383",17,56.822799,56.819903,60.60533,60.608619,https://overpass.kumi.systems/api/interpreter
859735788,Квартал,56.822077,60.610405,"60.610647,56.821390; 60.610875,56.820814; 60.612001,56.820923; 60.611114,56.823185; 60.607966,56.822857; 60.608119,56.822460; 60.610059,56.822690; 60.610059,56.822702; 60.610484,56.822752; 60.610585,56.822502; 60.610892,56.822534; 60.611186,56.821826; 60.610650,56.821732; 60.610784,56.821406; 60.610647,56.821390",15,56.823185,56.820814,60.607966,60.612001,https://overpass.kumi.systems/api/interpreter
859735789,Квартал,56.819423,60.61051,"60.609715,56.818588; 60.609932,56.818557; 60.612283,56.818839; 60.612521,56.818927; 60.612260,56.819692; 60.611239,56.819620; 60.611142,56.820163; 60.609885,56.820157; 60.609702,56.820481; 60.609222,56.820365; 60.609501,56.819422; 60.609508,56.819101; 60.609715,56.818588",13,56.820481,56.818557,60.609222,60.612521,https://overpass.kumi.systems/api/interpreter
859735792,Квартал,56.816924,60.611588,"60.610656,56.816065; 60.613761,56.816275; 60.612956,56.818289; 60.609909,56.817925; 60.610656,56.816065",5,56.818289,56.816065,60.609909,60.613761,https://overpass.kumi.systems/api/interpreter
859735793,Квартал,56.816736,60.608972,"60.610247,56.816026; 60.607667,56.815791; 60.606975,56.817670; 60.609534,56.818002; 60.609780,56.817209; 60.608654,56.817071; 60.608745,56.816836; 60.608278,56.816780; 60.608488,56.816243; 60.610081,56.816437; 60.610247,56.816026",11,56.818002,56.815791,60.606975,60.610247,https://overpass.kumi.systems/api/interpreter
875676424,"ЖК ""Изумрудный Бор""",56.920845,60.615026,"60.612450,56.918678; 60.612905,56.920164; 60.612179,56.920241; 60.613410,56.923601; 60.616068,56.923327; 60.615751,56.922496; 60.617044,56.922323; 60.616812,56.921759; 60.615135,56.921956; 60.614917,56.921434; 60.615113,56.920946; 60.615917,56.920869; 60.615950,56.920927; 60.616050,56.921014; 60.616339,56.921182; 60.617700,56.921022; 60.616828,56.918726; 60.613847,56.919018; 60.613654,56.918537; 60.612450,56.918678",20,56.923601,56.918537,60.612179,60.6177,https://overpass.kumi.systems/api/interpreter
925899036,"ЖК ""Исеть парк""",56.804002,60.641041,"60.642240,56.803716; 60.642230,56.804118; 60.642043,56.804468; 60.641857,56.804647; 60.641502,56.804799; 60.639574,56.804338; 60.639250,56.804183; 60.639274,56.804143; 60.639035,56.803736; 60.642203,56.802154; 60.642240,56.803716",11,56.804799,56.802154,60.639035,60.64224,https://overpass.kumi.systems/api/interpreter
929329199,быв. дача Свердловских писателей,56.865786,60.685002,"60.684731,56.865844; 60.684916,56.865889; 60.685198,56.865958; 60.685452,56.865647; 60.684984,56.865533; 60.684731,56.865844",6,56.865958,56.865533,60.684731,60.685452,https://overpass.kumi.systems/api/interpreter
